OrderID,Customer,Product,Quantity,UnitPrice,OrderDate,Region,Status
ORD000046,James Khan,widget,-3,88.67,2025-11-07,East,Shipped
ORD000047,Grace Silva,Gadget,4,319.81,2025-06-17,South,Pending
ORD000048,Mei Adams,Gadget,20,44.02,2025-02-27,Central,Shipped
ORD000049,OLGA PARK,???,five,$274.45,2025-09-04,North,Returned,EXTRA,JUNK
ORD000050,Mei Park,Sprocket,10,5.81,2025-12-12,West,Pending
ORD000051,Noah Murphy,Widget,2,320.71,2025-10-02,South,Pending
ORD000052,Nina Vargas,Sprocket,15,335.78,2025-08-07,North,Cancelled
ORD000053,Sam Wang,Gadget,15,165.3,2025-06-09,South,Returned
ORD000054,Diego Wang,Gadget,18,54.45,2025-06-26,Central,Returned
ORD000055,Grace Walsh,Sprocket,3,367.42,2025-09-14,North,Pending
ORD000056,Ben Brown,Gadget,5,475.39,2025-01-05,West,Cancelled
ORD000057,Lena Murphy,Cog,10,474.78,2025-06-16,Central,Cancelled
ORD000058,Kofi Ono,Sprocket,7,295.96,2025-07-17,East,Shipped
ORD000059,Ethan Ali,Cog,3,303.98,2025-10-28,North,Returned
ORD000060,Ahmed Mbeki,gadget,five,$171.51,yesterday,West,Pending
ORD000061,Lena Mbeki,Gizmo,7,366.33,2025-11-03,West,Shipped
ORD000062,Yuki Rossi,Widget,13,59.02,2025-10-02,North,Shipped
ORD000063,Kofi Murphy,Sprocket,11,403.86,,East,Shipped
ORD000064,Olga Silva,Sprocket,16,324.5,2025-03-24,North,Returned
ORD000065,Lucas Mbeki,Gadget,19,474.07,2025-06-28,South,Returned
ORD000066,OLGA PARK,???,11,137.61,2025-09-21,East,PENDING
,James Haddad,Cog,5,219.84,2025-04-17,West,Pending
ORD000068,Mei Kim,Sprocket,7,124.67,2025-02-10,Central,Cancelled
ORD000069,Olga Patel,Gadget,N/A,456.34,2025-10-20,,Cancelled
ORD000070,Priya Rossi,Cog,18,323.98,2025-11-01,East,Returned
,TARA VARGAS,,4,332.07,2025-12-27,South,Pending
ORD000072,Mei Ali,Gadget,19,free,2025-12-08,East,Shipped,EXTRA,JUNK
ORD000073,Aisha Petrov,Cog,18,347.49,2025-04-01,East,Pending
ORD000074,Lucas Silva,Gadget,1,220.85,2025-04-28,East,Cancelled
ORD000075,Hana Hassan,Gadget,18,490.93,2025-08-05,North,Returned
,Elena Okafor,gizmo,,free,2025-10-18,North,Returned
ORD000077,Priya Chen,Gadget,3,350.28,2025-07-04,East,Cancelled
,  Olga Adams,cog,12.5,$467.99,2025-12-23,West,Cancelled
,Olga Silva,cog,14
ORD000080,Elena Khan,Gadget,8,395.55,2025-10-05,Central,Pending
ORD000081,John Lund,Sprocket,18,197.73,2025-11-04,Central,PENDING
ORD000082,Ben Kim,Gizmo,20,292.32,2025-11-22,Central,Shipped
ORD000083,Hana Wang,Gizmo,8,418.33,2025-12-16,South,Shipped
ORD000084,Diego Hassan,Sprocket,3,34.87,2025-10-16,West,Shipped
ORD000085,Fatima Okafor,Gizmo,12.5,404.69,2025-03-26,
ORD000086,Ahmed Reyes,Gadget,10,118.45,2025-09-03,Central,Shipped
ORD000087,John Smith,Widget,14,274.85,2025-02-16,West,Pending
ORD000088,Lucas Patel,Gadget,9,138.58,2025-01-02,North,Returned
ORD000089,Lena Reyes,???,16,498.31,2025-10-22,North,Returned,EXTRA,JUNK
ORD000090,Maria Adams,Gizmo,7,105.39,2025-10-15,East,Pending
ORD000091,  John Haddad,???,11,41.19,2025-10-22,??,Cancelled
ORD000092,Nina Cohen,Gadget,13,480.99,2025-04-02,West,Pending
ORD000093,James Rossi,Sprocket,18,263.79,2025-09-20,East,Shipped
ORD000094,Elena Smith,Cog,3,89.33,2025-05-11,South,Pending
ORD000095,Ben Cohen,widget,19,154.04,2025-09-14,??,Shipped
ORD000096,Diego Novak,Widget,18,381.41,2025-03-06,South,Shipped
ORD000097,Diego Hassan,Sprocket,12,323.3,2025-03-07,West,Shipped
ORD000098,Grace Singh,Cog,14,482.16,2025-12-07,Central,Returned
ORD000099,Lena Garcia,Sprocket,9,422.6,2025-03-03,West,Cancelled
ORD000100,Omar Vargas,Cog,14,338.95,2025-02-10,West,Returned
ORD000101,Priya Mbeki,Gizmo,2,472.9,2025-10-23,North,Returned
ORD000102,Ahmed Walsh,Widget,16,489.32,2025-13-40,,RETURNED
ORD000103,Diego Patel,Cog,14,234.2,2025-03-23,West,Returned
ORD000104,Yuki Smith,Gizmo,6,77.76,2025-09-02,North,Cancelled
ORD000105,Yuki Diaz,Widget,16,305.0,2025-05-24,East,Pending
ORD000106,@@Noah Hassan,Sprocket,1,free,2025-04-24,West,Cancelled
ORD000107,Nina Rossi,Cog,-3,187.31,2025-01-20,East,Pending
ORD000108,Maria Hassan,Sprocket,7,309.7,2025-09-17,Central,Returned
ORD000109,Aisha Murphy,Cog,9,28.94,2025-08-15,East,Shipped
ORD000110,Fatima Mbeki,Gizmo,6,216.69,2025-06-01,West,Shipped
ORD000111,Diego Park,Sprocket,7,251.21,2025-06-16,South,Pending
ORD000112,Raj Cohen,???,11,492.49,2025-05-24,South,Pending
ORD000113,Aisha Silva,Widget,14,364.94,2025-12-08,South,Cancelled
ORD000114,Ahmed Park,Widget,17,122.87,2025-11-15,West,Shipped
ORD000115,Grace Brown,Widget,4,189.68,2025-04-18,South,Shipped
ORD000116,Nina Novak,Widget,8,421.18,2025-11-05,North,Cancelled
ORD000117,Lena Rivera,Widget,20,462.23,2025-09-14,West,Returned
ORD000118,Lena Brown,Widget,16,138.4,2025-02-25,South,Shipped
ORD000119,Mei Mbeki,Widget,6,432.44,2025-04-10,Central,Pending
,@@Ethan Singh,Gadget,,216.59,2025-12-24,,Cancelled
ORD000121,  Ahmed Park,Sprocket,4,,2025-08-06,North
ORD000122,Elena Wang,Gadget,7,34.31,2025-02-25,Central,Pending
ORD000123,Maria Kim,Widget,12.5,264.8USD,2025-09-14,West,Returned
ORD000124,Raj Rivera,gizmo,11,,00/00/0000,,Cancelled
ORD000125,Ben Walsh,,8,415.33,2025-03-21,Central,!!!
ORD000126,Ahmed Diaz,gizmo,20,452.96USD,yesterday,North,RETURNED
ORD000127,@@Nina Brown,gizmo,,176.94,2025-04-19,South,Pending
ORD000128,Ben Reyes,Sprocket,17,271.3,2025-04-22,North,Shipped
ORD000129,Lena Vargas,Cog,2,146.81,2025-02-11,Central,Cancelled
ORD000130,  Omar Tanaka,Gadget,4,138.93,,West,!!!,EXTRA,JUNK
ORD000131,Carlos Hassan,Widget,6,18.82,2025-09-06,Central,Shipped
ORD000132,Liam Kim,Gadget,11,free,,East,!!!
ORD000133,Elena Petrov,Sprocket,9,142.15,2025-01-25,North,Shipped
ORD000134,Nina Rossi,Widget,3,122.01,2025-01-08,North,Shipped
ORD000135,Priya Khan,Widget,16,369.15,2025-01-01,North,Shipped
ORD000136,Wei Kim,Widget,11,207.61,2025-10-21,South,Cancelled
ORD000137,James Adams,Gadget,7,345.26,2025-11-02
ORD000138,Lucas Novak,Sprocket,8,191.22,2025-05-02,South,SHIPPED
ORD000139,Lucas Petrov,Sprocket,3,285.01,2025-02-12,South,Shipped
ORD000140,Omar Murphy,Cog,18,112.37,,Central,SHIPPED
ORD000141,Sam Tanaka,Widget,6,485.12,2025-06-03,West,Returned
ORD000142,Maria Murphy,Widget,20,157.68,2025-04-12,West,Returned
ORD000143,Noah Mbeki,???,-3,182.45,2025-05-09,West,Pending
ORD000144,Grace Haddad,Gizmo,15,482.54,2025-09-18,Central,Pending
ORD000145,Ahmed Rossi,Widget,20,278.82,2025-02-26,??,Cancelled
ORD000146,Elena Silva,Gizmo,16,139.26,2025-09-13,North,Pending
ORD000147,Ivy Wang,Sprocket,1,227.05,2025-02-19,West,Cancelled
ORD000148,Maria Rossi,Gadget,3,445.95,2025-01-14,Central,Returned
ORD000149,Sofia Walsh,Widget,18,286.61,2025-09-02,Central,Shipped
ORD000150,Elena Rivera,Gizmo,15,64.36,2025-04-12,West,Returned
ORD000151,Elena Ali,Cog,14,60.02,2025-05-23,West,Returned
ORD000152,Fatima Hassan,Gadget,17,313.09,2025-01-10,East,
ORD000153,Ethan Okafor,Gadget,3,269.63,2025-05-03,West,Cancelled
ORD000154,Maria Singh,Gadget,20,191.99,2025-08-08,North,Shipped
ORD000155,Maria Murphy,Gadget,17,422.63,2025-06-21,South,Pending
ORD000156,Wei Park,,12.5,,,??,!!!
ORD000157,Ahmed Cohen,Gizmo,-3,free,yesterday,East,Shipped
ORD000158,Carlos Haddad,Gizmo,10,326.14,2025-05-12,East,Returned
ORD000159,Sam Novak,Gadget,9,39.7,2025-06-05,East,Cancelled
ORD000160,Ethan Vargas,Gizmo,7,328.69,2025-05-27,Central,Shipped
ORD000161,James Silva,cog,6,420.23,2025-11-22
ORD000162,Raj Murphy,Cog,16,497.36,2025-04-02,North,Returned
ORD000163,Hana Murphy,Gizmo,18,476.61,2025-06-14,West,Cancelled
ORD000164,Yuki Ali,Gizmo,17,440.29,2025-09-03,South,Pending
ORD000165,Mei Kim,Cog,8,217.76,2025-10-17,South,Shipped
ORD000166,Ethan Ali,gadget,five,free,2025-01-07,??,SHIPPED
ORD000167,Liam Haddad,Gizmo,3,399.15,2025-04-12,South,Shipped
,Sam Garcia,widget,5,418.45USD,2025-03-10,North,Pending
ORD000169,Nina Rossi,???,12.5,182.29USD,2025-08-11,EAST,RETURNED
ORD000170,Carlos Murphy,???,3,free,2025-05-10,East,Shipped
,Noah Petrov,???,12.5,366.17USD,00/00/0000,,Pending
ORD000172,Ivy Lund,Gadget,10,14.89,2025-04-07,West,Returned
,OLGA KHAN,widget,12.5,free,2025-02-06,North,Returned
ORD000174,Nina Ono,Gizmo,14,,2025-11-19,North,Cancelled
ORD000175,Wei Park,Gadget,16,203.24,2025-06-25,Central,Shipped
ORD000176,Noah Ali,???,15
ORD000177,James Wang,Widget,13,53.47,2025-10-21,Central,Cancelled
ORD000178,Raj Rivera,Sprocket,14,426.97,2025-02-17,South,Cancelled
ORD000179,Omar Mbeki,Widget,6,179.06,2025-03-14,West,Cancelled
ORD000180,@@Diego Khan,Gizmo,N/A,143.33,2025-13-40,,SHIPPED
ORD000181,Ben Hassan,Gadget,2,161.57,2025-05-15,North,Returned
,@@Sofia Kim,???,20,342.45,2025-05-05
ORD000183,Carlos Tanaka,Sprocket,3,344.73,2025-07-22,West,Shipped
ORD000184,Olga Rivera,Cog,5,470.9,2025-07-24,West,Returned
ORD000185,Wei Singh,Gadget,18,452.34,2025-08-13,Central,Shipped
ORD000186,Aisha Brown,Cog,15,384.43,2025-11-03,West,Cancelled
ORD000187,Ben Ali,Gizmo,18,200.08,2025-12-23,West,Shipped
,Ivy Khan,sprocket,19,443.35,2025-08-19,North,Shipped
ORD000189,Wei Murphy,Widget,17,143.2,2025-13-40,Central,Returned,EXTRA
ORD000190,  Tara Garcia,???,20,431.2,2025-08-27,North,Cancelled,EXTRA,JUNK
ORD000191,Sofia Garcia,Widget,five,free,00/00/0000,Central,Cancelled
,Ahmed Chen,Cog,8,369.86,00/00/0000,CENTRAL,Shipped
ORD000193,  Grace Brown,???,10,289.59,2025-09-10,??,PENDING
ORD000194,Priya Walsh,Gadget,14,234.45,2025-10-18,West,Pending
ORD000195,Noah Okafor,Gizmo,18,49.19,2025-07-24,South,Cancelled
ORD000196,Sam Adams,Cog,20,384.53,2025-03-25,East,Pending
ORD000197,Kofi Patel,Sprocket,3,306.26,2025-10-11,East,Returned
ORD000198,Elena Adams,Gadget,16,376.16,2025-06-03,East,Cancelled
ORD000199,Ethan Murphy,Gizmo,13,38.82
ORD000200,Hana Lund,cog,3,426.27,2025-07-03
ORD000201,Diego Rossi,Sprocket,3,192.82,2025-05-25,Central,Shipped
ORD000202,Wei Murphy,Gadget,17,290.45,2025-04-27,West,Cancelled
,James Patel,Gizmo,19,free,2025-08-28,Central,Pending
ORD000204,Olga Silva,Gadget,18,249.17,2025-10-08,North,Cancelled
,Omar Chen,,16,,00/00/0000,??,Returned
ORD000206,Ahmed Novak,Cog,2,249.09,2025-09-27,Central,Pending
ORD000207,Liam Adams,Sprocket,16,156.57,2025-02-24,Central,Returned
ORD000208,Sofia Haddad,Cog,18,118.09,00/00/0000,Central,Cancelled
ORD000209,Ahmed Cohen,Cog,2,433.91,2025-05-08,North,Pending
ORD000210,Ahmed Wang,Widget,12.5,253.2,2025-01-28,??,Cancelled,EXTRA
ORD000211,Diego Rossi,Gizmo,8,229.2,2025-06-25,Central,Pending
ORD000212,Liam Novak,Widget,17,295.86,2025-11-17,South,Pending
ORD000213,Priya Walsh,Widget,20,4.52,2025-02-25,Central,Pending
ORD000214,Elena Okafor,Cog,4,109.97,2025-03-09,North,Returned
ORD000215,  Carlos Novak,Cog,10,206.38USD,,South,Shipped
ORD000216,Sofia Garcia,Widget,3,164.04,2025-09-18,Central,Cancelled
ORD000217,Ben Petrov,Gizmo,2,196.62,2025-12-12,North,Returned
ORD000218,Fatima Khan,Widget,16,32.86,2025-09-18,Central,Pending
ORD000219,Nina Hassan,Gizmo,8,103.15,2025-09-13,East,Pending
ORD000220,Sam Rivera,Sprocket,2,396.92,2025-12-19,North,Returned
ORD000221,Ahmed Petrov,Sprocket,1,88.46,2025-09-21,West,Returned
,Fatima Park,Gadget,five,432.9,2025-08-19,West,Returned
ORD000223,Diego Vargas,Cog,17,229.83,2025-08-03,West,Cancelled
ORD000224,John Adams,Gizmo,-3,158.7,,North,Returned
ORD000225,Maria Petrov,Widget,11,441.53,2025-09-18,Central,Pending
ORD000226,Maria Patel,Cog,20,145.42,2025-02-07,Central,Returned
ORD000227,James Patel,Cog,11,59.86,2025-02-19,North,Cancelled
ORD000228,@@Omar Patel,widget,9,203.08,2025-02-08,Central,!!!
ORD000229,Lucas Wang,Gadget,2,274.84,2025-08-23,East,Returned
ORD000230,Liam Wang,Widget,19,86.79,2025-10-15,West,Cancelled
ORD000231,Diego Wang,Gadget,5,296.4,2025-12-04,North,Cancelled
ORD000232,Ahmed Singh,Sprocket,8,285.56,2025-07-14,Central,Pending
ORD000233,MARIA KHAN,Gadget,18,,2025-10-06,South,Shipped,EXTRA
ORD000234,Maria Wang,Cog,11,134.12,2025-06-18,North,Cancelled
ORD000235,James Ali,Cog,5,149.78,2025-03-21,Central,Cancelled
ORD000236,Maria Rivera,Gadget,2,467.32,2025-02-23,South,Pending
ORD000237,Lena Garcia,Gadget,7,318.1,2025-10-16,North,Returned
ORD000238,Lena Smith,Gizmo,19,110.5,2025-06-24,West,Pending
ORD000239,Sam Smith,Cog,15,141.75,2025-01-07,North,!!!
ORD000240,Kofi Petrov,Gadget,8,331.72,2025-05-11,North,Returned
,Lucas Hassan,Widget,N/A,$216.19,2025-05-05,North,Cancelled
,Nina Garcia,Gadget,five,431.35,2025-03-03,,
ORD000243,Sam Park,,,$148.89,2025-07-24,??,CANCELLED
,Raj Garcia,Sprocket,N/A,$162.11,yesterday,North,!!!
ORD000245,Hana Kim,Gadget,3,57.54,2025-02-08,East,Cancelled
ORD000246,Hana Chen,Gizmo,3,149.87,2025-04-12,East,Cancelled
ORD000247,Lena Mbeki,Widget,3,306.17,2025-05-15,West,Shipped
ORD000248,Nina Khan,Sprocket,11,435.32,2025-05-01,North,Cancelled
ORD000249,Maria Adams,Gadget,4,175.57,2025-10-18,Central,Cancelled
ORD000250,Wei Diaz,Widget,9,182.82,2025-03-22,West,Pending
ORD000251,Yuki Haddad,Gadget,2,378.99,2025-06-01,West,Returned
ORD000252,Omar Smith,Gizmo,14,32.54,2025-05-02,East,Cancelled
ORD000253,Lucas Kim,Gizmo,18,189.5,2025-02-06,West,Returned
ORD000254,Raj Ono,Gizmo,12,299.37,2025-03-23,West,Pending
ORD000255,LENA WANG,,12.5,410.98,2025-04-13,North,Returned
ORD000256,Raj Brown,Gadget,13,456.36,2025-04-05,West,Cancelled
ORD000257,  Omar Smith,Gadget,4,104.33,2025-03-19,West,Cancelled
ORD000258,Wei Okafor,Gadget,17,371.37,2025-11-25,East,Pending
ORD000259,James Singh,Sprocket,12.5,479.37,2025-12-17,Central,Pending
ORD000260,John Murphy,Cog,1,78.37,2025-06-22,East,!!!
ORD000261,Maria Adams,Sprocket,N/A
ORD000262,Carlos Smith,Gadget,15,262.49,2025-05-17,West,Shipped
ORD000263,Kofi Tanaka,Sprocket,5,322.94,2025-07-18,South,Shipped
ORD000264,@@Nina Smith,Gadget,17,,2025-06-18,Central,Shipped
ORD000265,  Ahmed Rossi,Gadget,13,450.01,2025-03-11,Central,Shipped
ORD000266,Noah Ali,Widget,15,139.49,2025-10-18,East,Returned
ORD000267,John Smith,widget,10,,2025-10-05,West,Shipped
ORD000268,Olga Tanaka,Gizmo,7,72.44,2025-10-28,South,Returned
ORD000269,Noah Chen,Gadget,14,17.52,2025-02-14,South,Pending
ORD000270,Maria Novak,,19,$375.65,2025-11-13,South,PENDING
ORD000271,Wei Ali,Widget,8,93.45,2025-03-22,North,Returned
ORD000272,Lena Garcia,Gadget,5,439.67,2025-07-11,South,Cancelled
ORD000273,Sam Haddad,Widget,2
ORD000274,Aisha Rossi,Widget,9,100.74,2025-11-21,Central,Returned
ORD000275,James Murphy,Cog,14,188.37,2025-10-20,South,Cancelled
ORD000276,Mei Patel,Gadget,19,339.01,2025-10-04,West,Pending
ORD000277,Sam Hassan,Gadget,15,156.87,2025-10-05,South,Cancelled
,Kofi Cohen,Gizmo,
ORD000279,Ben Haddad,Sprocket,14,$122.36,2025-03-24,Central,!!!
ORD000280,Nina Silva,Widget,8,494.01,2025-07-16,West,Pending
ORD000281,Ethan Haddad,Gadget,5,80.85,2025-07-27,South,Returned
ORD000282,Elena Haddad,Widget,15,478.22,2025-09-25,South,Returned
ORD000283,Ahmed Park,Gadget,3,14.02,2025-01-04,North,Shipped
ORD000284,Lena Ono,Gizmo,10,51.73USD,2025-02-08,South,Shipped
ORD000285,Priya Ali,,five,15.39,2025-04-05,North,SHIPPED
ORD000286,Liam Walsh,Cog,4,417.14,2025-07-15,North,Pending
ORD000287,Wei Silva,Cog,17,330.82,2025-04-17,West,Pending
ORD000288,Maria Garcia,Gadget,4,224.41,2025-09-15,Central,Returned
ORD000289,LIAM GARCIA,???,10,79.03,2025-04-09,East,Shipped
ORD000290,Aisha Garcia,???,19,7.68
,Nina Smith,,18,190.64,00/00/0000,West,!!!
ORD000292,John Rossi,Gizmo,9,399.18,2025-11-19,North,Pending
ORD000293,Sam Park,Gizmo,6,79.82,2025-02-13,North,Shipped
ORD000294,Mei Lund,,19,375.45,2025-08-11,West,Shipped
ORD000295,Carlos Haddad,Widget,10,465.76,2025-03-22,North,Returned
ORD000296,Omar Okafor,gizmo,-3,371.3,2025-05-24,East,Cancelled
ORD000297,Noah Vargas,Gizmo,9,105.92,2025-11-22,South,Cancelled
ORD000298,Hana Kim,Widget,7,283.16,2025-10-26,CENTRAL,Shipped,EXTRA
ORD000299,Maria Ono,???,12.5,177.38,2025-03-20,Central,
ORD000300,James Novak,???,five,153.36USD,2025-07-24,West,Shipped
ORD000301,James Mbeki,Widget,17,free,2025-03-15,Central,PENDING
ORD000302,James Singh,Sprocket,1,46.26,2025-01-23,Central,Shipped
ORD000303,  Lucas Walsh,,19,,2025-08-08,South,Shipped
ORD000304,Tara Okafor,Sprocket,13,100.66,2025-07-12,West,Shipped
ORD000305,Hana Mbeki,Sprocket,12.5,97.69,2025-03-23,South,!!!
ORD000306,Tara Cohen,Widget,4,361.8,2025-04-28,East,Returned
ORD000307,Carlos Kim,Cog,15,413.63,2025-10-25,North,Shipped
ORD000308,Omar Okafor,Gadget,20,19.44,2025-10-19,West,Pending
ORD000309,Lucas Diaz,,-3,24.61,,West,Pending
ORD000310,Liam Garcia,Gadget
ORD000311,Lena Ali,Cog,13,26.99,2025-09-02,Central,Returned
ORD000312,Kofi Park,Sprocket,8,207.98,2025-09-08,South,Returned
ORD000313,Ben Hassan,Sprocket,10,172.27,2025-09-12,West,Returned
ORD000314,Lucas Haddad,gizmo,12.5,405.37,2025-04-18,Central,Cancelled
ORD000315,Priya Brown,Cog,15,346.64,2025-03-07,North,Shipped
ORD000316,Wei Walsh,,3,225.01,2025-08-28,West,Cancelled
ORD000317,Yuki Silva,Widget,13,58.28,2025-01-03,Central,Shipped
ORD000318,Grace Park,???,6,451.06,2025-04-11,East,Cancelled
,Kofi Rivera,Sprocket,five,451.18USD,00/00/0000,West
ORD000320,MARIA PARK,Gizmo,N/A,free,2025-08-28,EAST,Shipped
ORD000321,Raj Murphy,Sprocket,9,497.05,2025-05-20,South,Returned
ORD000322,Ivy Singh,Sprocket,12,121.65,2025-06-03,South,Returned
ORD000323,  Ivy Cohen,???,,121.36,2025-09-19,,RETURNED
ORD000324,Elena Murphy,Gizmo,14,320.42,2025-02-13,North,Shipped
ORD000325,Priya Rivera,Sprocket,7,355.88,2025-11-19,East,Returned
ORD000326,Ethan Garcia,Gadget,14,138.05,2025-09-12,Central,Pending
ORD000327,Sofia Khan,Cog,7,5.09,2025-07-24,West,Shipped
ORD000328,  Ahmed Adams,Gadget,,314.26,2025-12-14,,Shipped
ORD000329,  Sofia Ono,Gizmo,12.5,466.62
ORD000330,MEI RIVERA,???
ORD000331,Maria Kim,Gadget,3,355.65,2025-02-27,East,Shipped
ORD000332,Nina Vargas,widget,-3,free,2025-01-22,West,!!!,EXTRA
ORD000333,Ivy Kim,Gizmo,20,360.72,2025-10-07,West,Shipped
ORD000334,Carlos Cohen,Gadget,6,131.75,2025-12-17,North,Returned
ORD000335,Liam Khan,Widget,,349.58,2025-09-17,East,Shipped
ORD000336,James Garcia,Widget,11,396.32,2025-06-10,Central,Returned
ORD000337,Tara Ono,Sprocket,15,212.68,2025-01-13,Central,Cancelled
ORD000338,Kofi Rossi,Cog,9,46.43,2025-12-07,North,Returned
ORD000339,Wei Reyes,Gizmo,7,246.02,2025-07-03,North,Shipped
ORD000340,Sam Okafor,Gizmo,13,185.99,2025-12-10,West,Returned
ORD000341,James Brown,Widget,4,352.91,2025-11-28,North,Shipped
ORD000342,Carlos Smith,Gadget,16,385.12,2025-04-22,West,Returned
ORD000343,Nina Khan,Gizmo,12,74.23,2025-06-14,North,Returned
ORD000344,Omar Brown,Cog,3,489.88,2025-05-04,East,Cancelled
ORD000345,Priya Singh,Gadget,,394.78,2025-10-22,West,Returned
ORD000346,Liam Hassan,Widget,6,243.53,2025-10-23,West,Shipped
ORD000347,Carlos Kim,Widget,15,495.07,2025-01-02,South,Cancelled
,Tara Walsh,???,12.5,,2025-10-09,West,Cancelled
ORD000349,Lena Haddad,Sprocket,12,321.42,2025-03-04,Central,Returned
ORD000350,Fatima Tanaka,Cog,five,$50.53,2025-04-01,North,Returned
,LENA OKAFOR,Gizmo,-3,,2025-10-03,South,Pending
ORD000352,Priya Reyes,Sprocket,3,283.44,2025-05-07,Central,Pending
ORD000353,Ethan Reyes,Sprocket,19,146.79,2025-11-09,South,Shipped
,Lena Kim,Cog
ORD000355,Sofia Adams,Widget,12.5,427.28,2025-11-10,South,Shipped
ORD000356,Sofia Patel,Widget,2,480.29,2025-06-26,West,Returned
ORD000357,Aisha Ono,,-3,99.94,2025-12-12
ORD000358,  Kofi Silva,Widget,9,353.5,2025-09-08
ORD000359,Ivy Ali,Cog,14,228.82,yesterday,West,Pending
ORD000360,Ben Adams,,five,$256.97,2025-06-28,North,RETURNED
ORD000361,Sofia Patel,Widget,13,39.8,2025-09-10,West,Pending
ORD000362,Ethan Vargas,Widget,4,288.04,2025-10-23,West,Shipped
,Ethan Park,Gadget,4,$378.57,2025-03-09,,Shipped
ORD000364,@@Ahmed Park,???,18,,00/00/0000,North,
ORD000365,Lucas Cohen,widget,12,$71.0,2025-04-07,Central,Pending
ORD000366,Nina Patel,Gadget,18,124.09,2025-02-10,Central,Pending
ORD000367,Sam Okafor,Gadget,3,272.9,2025-05-02,West,Cancelled
ORD000368,Elena Smith,Widget,1,319.41,2025-06-02,Central,Shipped
ORD000369,Fatima Khan,Sprocket,11,293.16,2025-01-07,North,Cancelled
ORD000370,Carlos Rossi,Widget,12,63.64
,  Yuki Chen,Sprocket,6,$374.2,2025-12-27,North,Pending
ORD000372,Aisha Garcia,Sprocket,16,266.36,2025-05-04,South,Returned
ORD000373,Mei Patel,Sprocket,15,338.96,2025-06-22,,Pending
